Timpstemp, Error_count, x, y, z, temperature, range_rad_s, scaling, x_raw, y_raw, z_raw, temperature_raw, 
7090906,0,0.2449299842119217,0.19367285072803497,-10.587221145629883,9.648200988769531,156.90640258789062,0.004788403399288654,-20,-80,-2195,-9152, 
7190913,0,0.19180884957313538,-0.48705899715423584,-9.608912467956543,9.648200988769531,156.90640258789062,0.004788403399288654,107,-31,-1980,-9152, 
7290907,0,0.004108816385269165,-0.2406230866909027,-8.0759916305542,9.645429611206055,156.90640258789062,0.004788403399288654,-142,-86,-1600,-9153, 
7391908,0,-0.8545823097229004,-0.5154842138290405,-8.208663940429688,9.648200988769531,156.90640258789062,0.004788403399288654,-139,-146,-1726,-9152, 
7490907,0,-0.5376163125038147,0.054402172565460205,-9.014673233032227,9.63711929321289,156.90640258789062,0.004788403399288654,-40,-10,-1969,-9156, 
7590907,0,0.013581748120486736,0.20375525951385498,-9.279133796691895,9.631580352783203,156.90640258789062,0.004788403399288654,40,10,-1992,-9158, 
7690907,0,0.020563986152410507,-0.3576892614364624,-9.147295951843262,9.63711929321289,156.90640258789062,0.004788403399288654,6,-43,-1926,-9156, 
7790908,0,-0.24832674860954285,0.0389605313539505,-9.251932144165039,9.650970458984375,156.90640258789062,0.004788403399288654,-70,-25,-1918,-9151, 
7890913,0,-0.28455865383148193,-0.13461312651634216,-9.39185905456543,9.656511306762695,156.90640258789062,0.004788403399288654,-29,-141,-1974,-9149, 
7990907,0,-0.18781501054763794,-0.4091135859489441,-9.219341278076172,9.653739929199219,156.90640258789062,0.004788403399288654,4,-67,-1920,-9150, 
8091938,0,-0.24034203588962555,-0.29952114820480347,-9.379308700561523,9.628808975219727,156.90640258789062,0.004788403399288654,-101,12,-1928,-9159, 
8190908,0,0.03914649039506912,-0.21077662706375122,-9.176984786987305,9.659280776977539,156.90640258789062,0.004788403399288654,-70,-49,-1897,-9148, 
8290907,0,-0.17362956702709198,-0.13741925358772278,-9.205330848693848,9.650970458984375,156.90640258789062,0.004788403399288654,45,-120,-1956,-9151, 
8390907,0,-0.13457714021205902,-0.39932504296302795,-9.21733283996582,9.639890670776367,156.90640258789062,0.004788403399288654,-73,-36,-1925,-9155, 
8490907,0,-0.09999248385429382,-0.33855533599853516,-9.31152629852295,9.670360565185547,156.90640258789062,0.004788403399288654,-7,15,-1926,-9144, 
8590909,0,0.1110951155424118,-0.03224761784076691,-9.343433380126953,9.675901412963867,156.90640258789062,0.004788403399288654,-14,-48,-1936,-9142, 
8690907,0,-0.05262593552470207,-0.05128826946020126,-9.220773696899414,9.648200988769531,156.90640258789062,0.004788403399288654,36,-39,-1901,-9152, 
8791909,0,-0.15805548429489136,-0.10454842448234558,-9.264999389648438,9.653739929199219,156.90640258789062,0.004788403399288654,-44,-11,-1958,-9150, 
8890907,0,-0.05780928581953049,-0.14468905329704285,-9.312870979309082,9.653739929199219,156.90640258789062,0.004788403399288654,-117,-9,-1865,-9150, 
8990907,0,-0.19540908932685852,-0.29017913341522217,-9.419130325317383,9.675901412963867,156.90640258789062,0.004788403399288654,-84,-270,-1994,-9142, 
9091907,0,-0.3206068277359009,-0.39716392755508423,-9.501816749572754,9.659280776977539,156.90640258789062,0.004788403399288654,-32,-198,-1864,-9148, 
9190907,0,-0.24716150760650635,-0.31468066573143005,-9.276650428771973,9.67313003540039,156.90640258789062,0.004788403399288654,37,-156,-1662,-9143, 
9290922,0,-0.46492382884025574,-0.12388423085212708,-9.21135139465332,9.667591094970703,156.90640258789062,0.004788403399288654,55,48,-2001,-9145, 
9390907,0,-0.49295276403427124,-0.3824809789657593,-9.221822738647461,9.662050247192383,156.90640258789062,0.004788403399288654,17,-48,-1874,-9147, 
9490916,0,0.1365513652563095,-0.351532518863678,-9.08238410949707,9.689750671386719,156.90640258789062,0.004788403399288654,-222,-141,-1942,-9137, 
9590921,0,-0.16926386952400208,-0.048622991889715195,-8.972213745117188,9.70083236694336,156.90640258789062,0.004788403399288654,-148,-10,-1939,-9133, 
