Timpstemp, Pressure, Altitude, Temperature, Error_count, 
7068959,957.8899536132812,471.366943359375,10.34000015258789,0, 
7178425,957.8899536132812,471.366943359375,10.34000015258789,0, 
7263705,957.8800048828125,471.4540710449219,10.34000015258789,0, 
7385483,957.8999633789062,471.2798156738281,10.34000015258789,0, 
7470704,957.8899536132812,471.366943359375,10.329999923706055,0, 
7580238,957.8800048828125,471.4540710449219,10.329999923706055,0, 
7689809,957.8800048828125,471.4540710449219,10.329999923706055,0, 
7775061,957.8800048828125,471.4540710449219,10.329999923706055,0, 
7860262,957.8800048828125,471.4540710449219,10.329999923706055,0, 
7981975,957.8899536132812,471.366943359375,10.329999923706055,0, 
8067179,957.8800048828125,471.4540710449219,10.329999923706055,0, 
8176749,957.8699951171875,471.5411682128906,10.34000015258789,0, 
8286242,957.8499755859375,471.7154235839844,10.34000015258789,0, 
8371451,957.8599853515625,471.6282958984375,10.34000015258789,0, 
8456763,957.8800048828125,471.4540710449219,10.34000015258789,0, 
8578454,957.8999633789062,471.2798156738281,10.34000015258789,0, 
8687968,957.8800048828125,471.4540710449219,10.34000015258789,0, 
8773089,957.8800048828125,471.4540710449219,10.34000015258789,0, 
8882535,957.8800048828125,471.4540710449219,10.34000015258789,0, 
8967726,957.8899536132812,471.366943359375,10.34000015258789,0, 
9089456,957.8599853515625,471.6282958984375,10.34000015258789,0, 
9174722,957.8800048828125,471.4540710449219,10.34999942779541,0, 
9284295,957.8899536132812,471.366943359375,10.34999942779541,0, 
9369500,957.8599853515625,471.6282958984375,10.34999942779541,0, 
9478963,957.8899536132812,471.366943359375,10.34999942779541,0, 
9564137,957.8599853515625,471.6282958984375,10.34999942779541,0, 
9685808,957.8800048828125,471.4540710449219,10.359999656677246,0, 
9771000,957.8899536132812,471.366943359375,10.359999656677246,0, 
9880523,957.8800048828125,471.4540710449219,10.359999656677246,0, 
9990010,957.8699951171875,471.5411682128906,10.369999885559082,0, 
10075242,957.8699951171875,471.5411682128906,10.369999885559082,0, 
10160449,957.8699951171875,471.5411682128906,10.369999885559082,0, 
10282140,957.8999633789062,471.2798156738281,10.359999656677246,0, 
10367377,957.8399658203125,471.8025207519531,10.359999656677246,0, 
10476848,957.8699951171875,471.5411682128906,10.359999656677246,0, 
10586342,957.8599853515625,471.6282958984375,10.359999656677246,0, 
